run_id,expr,canonical,status,coverage,usable_days,mean_ic,icir,mean_rank_ic,rank_icir,positive_rank_ic_ratio,turnover_proxy,quantile_spread,train_mean_rank_ic,train_rank_icir,test_mean_rank_ic,test_rank_icir,score,error,created_at
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$price_volume_pressure,10))","Rank(TsCorr($hl_range,$price_volume_pressure,10))",OK,0.9829084380610413,548,-0.015421136206240058,-0.1389719741556052,-0.04915626806636656,-0.3957144094203652,0.3248175182481752,0.09472114016435838,-0.0023367718301069164,-0.04836209999408422,-0.362032285030441,-0.05125628296891183,-0.5390417140350723,0.027629274626628918,,2026-04-27 12:23:54
20240101_20260430_200_500,"Rank(TsCorr($ret_1d,$hl_range,10))","Rank(TsCorr($ret_1d,$hl_range,10))",OK,0.9829084380610413,548,-0.03909705657111388,-0.35107656788479163,-0.048743534806779544,-0.3927529204332218,0.3284671532846715,0.09480856447367518,-0.002513845860038968,-0.04788147700505056,-0.3583214389983402,-0.0510230702019555,-0.5406158288498328,0.02758387938769338,,2026-04-27 12:17:54
20240101_20260430_200_500,"Rank(TsIr($ret_1d,50))","Rank(TsIr($ret_1d,50))",OK,0.8959245960502693,507,-0.02276918559291021,-0.1503884410993022,-0.060810888275750104,-0.3700580332785106,0.3668639053254438,0.05307491595976362,-0.0021001041022157205,-0.060857221823816254,-0.3463856854176492,-0.06070111819207662,-0.45434530851582744,0.027579268272234756,,2026-04-27 12:23:08
20240101_20260430_200_500,"SLog1p(TsIr($ret_1d,50))","SLog1p(TsIr($ret_1d,50))",OK,0.8959245960502693,507,-0.025635605138026384,-0.16167187860920754,-0.060810888275750104,-0.3700580332785106,0.3668639053254438,0.05307491595976362,-0.0021001041022157205,-0.060857221823816254,-0.3463856854176492,-0.06070111819207662,-0.45434530851582744,0.027579268272234756,,2026-04-27 12:23:08
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$volume_ratio_x_ret,10))","Rank(TsCorr($hl_range,$volume_ratio_x_ret,10))",OK,0.9829084380610413,548,-0.015732113006286384,-0.14410471811257403,-0.04950860044313433,-0.4027045981557426,0.3357664233576642,0.09101920380518885,-0.0022055347119657493,-0.048509458181273925,-0.3711790030962108,-0.05215062763221489,-0.5239486281264252,0.02732424980383103,,2026-04-27 12:24:03
20240101_20260430_200_500,"Sub(Rank(TsMean($ret_1d,20)),Rank(TsMean($gap_ret,20)))","Sub(Rank(TsMean($ret_1d,20)),Rank(TsMean($gap_ret,20)))",OK,0.957262118491921,537,-0.07453653918116009,-0.5590183227497953,-0.0672326748767752,-0.4701028990075122,0.31471135940409684,0.0697059996262841,-0.004847998899118082,-0.07221979754545688,-0.46860622910600436,-0.05441342667472767,-0.5020172504493706,0.027316478846775225,,2026-04-27 12:19:49
20240101_20260430_200_500,"Rank(TsMean($ret_1d,50))","Rank(TsMean($ret_1d,50))",OK,0.8959245960502693,507,-0.03091890414577798,-0.18989083715711724,-0.07055067839336156,-0.39823848617433544,0.3530571992110454,0.05002309002162106,-0.004004550910778741,-0.07460466908978881,-0.3893542734492012,-0.060946257481691614,-0.44657792920773504,0.02721725345913527,,2026-04-27 12:23:00
20240101_20260430_200_500,"Sub(Rank(TsMean($flow_imbalance,20)),Rank(TsMean($ret_1d,20)))","Sub(Rank(TsMean($flow_imbalance,20)),Rank(TsMean($ret_1d,20)))",OK,0.9554847396768402,536,0.0495165672135552,0.41493902800166305,0.06686063417444932,0.5073625400141827,0.6977611940298507,0.06302184431658674,0.0054021043283207434,0.07214587887499781,0.5138632731532913,0.053275072293173624,0.5061148493063246,0.026963305185443116,,2026-04-27 12:19:06
20240101_20260430_200_500,"Rank(TsMean($ret_1d,40))","Rank(TsMean($ret_1d,40))",OK,0.9163285457809695,517,-0.06081313711329945,-0.5361385898247513,-0.07583049983240611,-0.4382363644624834,0.31721470019342357,0.05516420881223149,-0.004226864270480401,-0.08192224455467122,-0.4424518502324035,-0.06098953785802869,-0.44182939937930976,0.026946970880234494,,2026-04-27 12:19:36
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$vol_log,50))","Rank(TsCorr($hl_range,$vol_log,50))",OK,0.9120287253141831,508,-0.0266213010234673,-0.23844460313003601,-0.026545764432779815,-0.20350003147518173,0.4094488188976378,0.03700650887573965,-0.0052635745322482,-0.015613416099838011,-0.11273168630196205,-0.052519263156681824,-0.5027932227351987,0.026406329578226036,,2026-04-27 12:23:44
20240101_20260430_200_500,"SLog1p(TsPctChange($hl_range,50))","SLog1p(TsPctChange($hl_range,50))",OK,0.905475763016158,507,-0.04435030155143031,-0.34885223553778943,-0.05957250356225587,-0.48385041866700323,0.3076923076923077,0.2495727622648381,-0.005221589119877937,-0.061676721736983284,-0.48614939240047184,-0.05458734238320369,-0.48052228270907005,0.026230434368998603,,2026-04-27 12:24:07
20240101_20260430_200_500,"Rank(TsPctChange($hl_range,50))","Rank(TsPctChange($hl_range,50))",OK,0.905475763016158,507,-0.034195314408715025,-0.2985154344545014,-0.059572509862847595,-0.4838504100210381,0.3076923076923077,0.2495727622648381,-0.005221589119877937,-0.06167673507650651,-0.486149444756492,-0.05458733200766904,-0.48052211484232943,0.02623042021992551,,2026-04-27 12:24:07
20240101_20260430_200_500,"Sub(Rank(TsMean($ret_1d,40)),Rank(TsMean($intraday_reversal,40)))","Sub(Rank(TsMean($ret_1d,40)),Rank(TsMean($intraday_reversal,40)))",OK,0.8859784560143626,517,-0.03030475012328004,-0.19924959460653624,-0.0631044629984139,-0.3727901975144722,0.3365570599613153,0.057775221271897714,-0.004044839939229579,-0.06411528969541813,-0.3568134893083653,-0.06064184493792706,-0.4310328169777334,0.026138625250321602,,2026-04-27 12:23:19
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$vol_log,30))","Rank(TsCorr($hl_range,$vol_log,30))",OK,0.947935368043088,528,-0.030635627080368905,-0.27044159699356685,-0.031527861331937405,-0.23761166343847576,0.3787878787878788,0.05422580645161291,-0.005394207698100471,-0.023384363092650545,-0.16480886121092242,-0.051968588456053434,-0.5028715999327779,0.02613352722314368,,2026-04-27 12:23:44
